Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
MCO,False,,,,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,CORE,S&P 500,79491186688.0,1.446,0.62078,AGRESIVO,1,456.24,57.63,443.69,485.72,True,False,False,32.67,19.56,3736999936.0,2459000064.0,176.81,1.99,544.95,19.44,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.04,9,6,0,BAJA
SNPS,False,,,,"Synopsys, Inc.",Technology,Software - Infrastructure,CORE,S&P 500,83626401792.0,1.148,0.055430003,BALANCEADO,1,450.93,64.02,422.37,483.13,True,False,False,66.85,2.74,1615056000.0,1105394944.0,35.58,6.73,535.68,18.79,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.41,6,6,0,BAJA
BLK,False,,,,"BlackRock, Inc.",Financial Services,Asset Management,CORE,S&P 500,163937665024.0,1.493,,AGRESIVO,1,1062.4,63.81,1014.21,1083.48,True,False,False,26.51,2.92,10242499584.0,6255000064.0,24.37,1.46,1225.06,15.31,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.04,9,6,0,BAJA
QCOM,False,,,,QUALCOMM Incorporated,Technology,Semiconductors,CORE,S&P 500,142370422784.0,1.279,0.2148,AGRESIVO,1,136.33,61.11,134.6,157.1,True,False,False,26.93,6.2,13763999744.0,5365000192.0,64.22,1.08,154.93,13.64,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.41,6,7,-1,BAJA
AMZN,False,,,,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,CORE,Dow Jones,2675926630400.0,1.383,0.22286,AGRESIVO,1,253.81,77.96,214.31,225.6,True,False,False,34.7,6.5,145730994176.0,77669998592.0,43.44,1.23,281.18,10.78,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.64,5,6,0,BAJA
PYPL,False,,,,"PayPal Holdings, Inc.",Financial Services,Credit Services,CORE,S&P 500,45719461888.0,1.411,0.25732002,AGRESIVO,1,50.88,69.07,44.77,60.49,True,False,False,9.18,2.26,6648999936.0,5232999936.0,60.7,1.85,53.0,4.16,1,4,6,SIN SETUP,SEGUIMIENTO,BAJA,4,5.04,9,7,-1,BAJA
ABBV,False,,,,AbbVie Inc.,Healthcare,Drug Manufacturers - General,CORE,S&P 500,369016897536.0,0.364,62.25,DEFENSIVO,-1,210.93,47.36,219.15,217.34,True,True,True,87.66,-112.77,29254000640.0,4185999872.0,,2.34,249.0,18.05,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.32,7,5,0,BAJA
LMT,False,,,,Lockheed Martin Corporation,Industrials,Aerospace & Defense,CORE,S&P 500,140685606912.0,0.24,0.76865,DEFENSIVO,-1,596.92,37.74,636.39,520.98,False,True,True,28.43,20.8,8285000192.0,5016999936.0,338.8,2.75,667.85,11.88,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.86,2,4,1,BAJA
MCD,False,,,,McDonald's Corporation,Consumer Cyclical,Restaurants,CORE,Dow Jones,217694519296.0,0.532,,DEFENSIVO,-1,311.23,49.78,319.89,309.5,True,True,True,25.63,-121.58,14593999872.0,8562999808.0,,3.76,344.79,10.78,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.64,5,5,0,BAJA
PEP,False,,,,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,CORE,S&P 500,211978354688.0,0.41,0.42848,DEFENSIVO,-1,157.9,53.56,160.1,148.93,True,True,True,25.85,10.39,18173999104.0,8240000000.0,258.08,2.92,170.06,7.7,3,3,5,PULLBACK EN TENDENCIA,SEGUIMIENTO,BAJA,4,5.75,3,5,0,BAJA
